sim_time_ns,trading_bid_price,trading_ask_price,trading_order_type,best_bid_price,best_ask_price,position,day_pnl,stock_id
915000,22255,22270,3,22256,22269,0,0,0
1575000,22253,22272,3,22254,22271,0,0,0
2235000,22252,22272,3,22253,22271,-5,111350,0
2895000,22253,22274,3,22254,22273,-20,445400,0
3555000,22254,22276,3,22255,22275,-25,556760,0
4215000,22252,22259,3,22255,22260,-25,556760,0
4875000,22254,22258,3,22256,22258,-25,556760,0
5535000,22253,22256,3,22254,22255,-25,556760,0
6195000,22253,22259,3,22254,22258,-25,556760,0
6855000,22261,22267,3,22254,22258,-25,556760,0
